Tarikh,Tajuk,Kandungan,Media_Path,Media_Type,Tarikh_Tamat
24-08-2026 08:26,plan factory,factory plan,uploaded_announcements\PLAN FACTORY.jpg,Image,2026-08-24 09:26:13
24-08-2026 08:26,corporate video,showaglove,uploaded_announcements\SHOWA_corporate video 2019_SU.mp4,Video,2026-08-24 09:26:19
